token	pos
invasions	NNS
of	IN
them	PRP
;	:
to	TO
distinguish	VB
between	IN
oppression	NN
and	CC
the	DT
necessary	JJ
exercise	NN
of	IN
lawful	JJ
authority	NN
;	:
between	IN
burthens	NNS
proceeding	VBG
from	IN
a	DT
disregard	NN
to	TO
their	PRP$
convenience	NN
and	CC
those	DT
resulting	VBG
from	IN
the	DT
inevitable	JJ
exigencies	NNS
of	IN
society	NN
;	:
to	TO
discriminate	VB
the	DT
spirit	NN
of	IN
liberty	NN
from	IN
that	IN
of	IN
licentiousness	NN
-	:
cherishing	VBG
the	DT
first	JJ
,	,
avoiding	VBG
the	DT
last	JJ
-	:
and	CC
uniting	VBG
a	DT
speedy	JJ
but	CC
temperate	JJ
vigilance	NN
against	IN
encroachments	NNS
,	,
with	IN
an	DT
inviolable	JJ
respect	NN
to	TO
the	DT
laws	NNS
.	.
Whether	IN
this	DT
desirable	JJ
object	NN
will	MD
be	VB
best	RB
promoted	VBN
by	IN
affording	VBG
aids	NNS
to	TO
seminaries	NNS
of	IN
learning	VBG
already	RB
established	VBN
,	,
by	IN
the	DT
institution	NN
of	IN
a	DT
national	JJ
university	NN
,	,
or	CC
by	IN
any	DT
other	JJ
expedients	NNS
will	MD
be	VB
well	RB
worthy	JJ
of	IN
a	DT
place	NN
in	IN
the	DT
deliberations	NNS
of	IN
the	DT
legislature	NN
.	.
Gentlemen	NNS
of	IN
the	DT
House	NNP
of	IN
Representatives	NNPS
:	:
I	PRP
saw	VBD
with	IN
peculiar	JJ
pleasure	NN
at	IN
the	DT
close	NN
of	IN
the	DT
last	JJ
session	NN
the	DT
resolution	NN
entered	VBD
into	IN
by	IN
you	PRP
expressive	JJ
of	IN
your	PRP$
opinion	NN
that	IN
an	DT
adequate	JJ
provision	NN
for	IN
the	DT
support	NN
of	IN
the	DT
public	JJ
credit	NN
is	VBZ
a	DT
matter	NN
of	IN
high	JJ
importance	NN
to	TO
the	DT
national	JJ
honor	NN
and	CC
prosperity	NN
.	.
In	IN
this	DT
sentiment	NN
I	PRP
entirely	RB
concur	VBP
;	:
and	CC
to	TO
a	DT
perfect	JJ
confidence	NN
in	IN
your	PRP$
best	JJS
endeavors	NNS
to	TO
devise	VB
such	JJ
a	DT
provision	NN
as	RB
will	MD
be	VB
truly	RB
with	IN
the	DT
end	NN
I	PRP
add	VBP
an	DT
equal	JJ
reliance	NN
on	IN
the	DT
cheerful	JJ
cooperation	NN
of	IN
the	DT
other	JJ
branch	NN
of	IN
the	DT
legislature	NN
.	.
It	PRP
would	MD
be	VB
superfluous	JJ
to	TO
specify	VB
inducements	NNS
to	TO
a	DT
measure	NN
in	IN
which	WDT
the	DT
character	NN
and	CC
interests	NNS
of	IN
the	DT
United	NNP
States	NNP
are	VBP
so	RB
obviously	RB
so	RB
deeply	RB
concerned	VBN
,	,
and	CC
which	WDT
has	VBZ
received	VBN
so	RB
explicit	JJ
a	DT
sanction	NN
from	IN
your	PRP$
declaration	NN
.	.
Gentlemen	NNS
of	IN
the	DT
Senate	NNP
and	CC
House	NNP
of	IN
Representatives	NNPS
:	:
I	PRP
have	VBP
directed	VBN
the	DT
proper	JJ
officers	NNS
to	TO
lay	VB
before	IN
you	PRP
,	,
respectively	RB
,	,
such	JJ
papers	NNS
and	CC
estimates	NNS
as	IN
regard	NN
the	DT
affairs	NNS
particularly	RB
recommended	VBN
to	TO
your	PRP$
consideration	NN
,	,
and	CC
necessary	JJ
to	TO
convey	VB
to	TO
you	PRP
that	IN
information	NN
of	IN
the	DT
state	NN
of	IN
the	DT
Union	NNP
which	WDT
it	PRP
is	VBZ
my	PRP$
duty	NN
to	TO
afford	VB
.	.
The	DT
welfare	NN
of	IN
our	PRP$
country	NN
is	VBZ
the	DT
great	JJ
object	NN
to	TO
which	WDT
our	PRP$
cares	NNS
and	CC
efforts	NNS
ought	MD
to	TO
be	VB
directed	VBN
,	,
and	CC
I	PRP
shall	MD
derive	VB
great	JJ
satisfaction	NN
from	IN
a	DT
cooperation	NN
with	IN
you	PRP
in	IN
the	DT
pleasing	NN
though	IN
arduous	JJ
task	NN
of	IN
insuring	VBG
to	TO
our	PRP$
fellow	JJ
citizens	NNS
the	DT
blessings	NNS
which	WDT
they	PRP
have	VBP
a	DT
right	NN
to	TO
expect	VB
from	IN
a	DT
free	JJ
,	,
efficient	JJ
,	,
and	CC
equal	JJ
government	NN
.	.
